window_id,mae_naive,mae_xgb,cutoff_end_date
2006-10-02__2008-09-22,0.6599999999999997,0.4663101320266724,2008-09-22
2020-01-06__2021-12-27,0.04574999999999996,0.40589378070831283,2021-12-27
2020-07-20__2022-07-11,0.5174999999999994,0.31986429786682113,2022-07-11
2022-01-03__2023-12-25,0.04525000000000001,0.3006888399124146,2023-12-25
2004-06-14__2006-06-05,0.04125000000000001,0.28203817653655994,2006-06-05
2023-01-30__2025-01-20,0.030249999999999888,0.2516426649093627,2025-01-20
2013-11-18__2015-11-09,0.16849999999999998,0.2350043377876282,2015-11-09
2006-10-30__2008-10-20,0.7665000000000002,0.21051011562347421,2008-10-20
2005-03-21__2007-03-12,0.1895,0.202824956893921,2007-03-12
2020-03-02__2022-02-21,0.6977499999999996,0.19701383733749367,2022-02-21
2004-03-22__2006-03-13,0.2739999999999999,0.1962588019371031,2006-03-13
2020-12-07__2022-11-28,0.36875,0.18518520689010642,2022-11-28
2010-02-15__2012-02-06,0.2492500000000002,0.18093324661254873,2012-02-06
2003-08-11__2005-08-01,0.41900000000000004,0.18087845230102528,2005-08-01
2003-09-08__2005-08-29,0.26274999999999993,0.17292640590667707,2005-08-29
2022-08-15__2024-08-05,0.13700000000000023,0.16851758861541755,2024-08-05
2021-10-11__2023-10-02,0.3085000000000001,0.16564793920516974,2023-10-02
2018-03-05__2020-02-24,0.2722500000000001,0.1625635728836059,2020-02-24
2020-06-22__2022-06-13,0.30425000000000035,0.1611101083755495,2022-06-13
2020-05-25__2022-05-16,0.37825,0.1529926424026491,2022-05-16
2004-01-26__2006-01-16,0.04325000000000001,0.1475693745613098,2006-01-16
2020-11-09__2022-10-31,0.1685000000000001,0.14414758872985833,2022-10-31
2006-09-04__2008-08-25,0.06774999999999998,0.14401251125335712,2008-08-25
2005-09-05__2007-08-27,0.052750000000000186,0.14288652420043935,2007-08-27
2010-08-02__2012-07-23,0.22625000000000017,0.14198903942108154,2012-07-23
2005-04-18__2007-04-09,0.1955,0.13796883201599108,2007-04-09
2021-03-29__2023-03-20,0.17675000000000018,0.13755144309997558,2023-03-20
2009-02-16__2011-02-07,0.28274999999999995,0.13687782192230225,2011-02-07
2021-12-06__2023-11-27,0.14149999999999996,0.13163981771469135,2023-11-27
2021-07-19__2023-07-10,0.20750000000000024,0.12993142175674433,2023-07-10
2013-12-16__2015-12-07,0.030749999999999833,0.12902427005767825,2015-12-07
2003-11-03__2005-10-24,0.3487500000000001,0.12849606561660776,2005-10-24
2006-02-20__2008-02-11,0.23824999999999996,0.12484777498245248,2008-02-11
2021-11-08__2023-10-30,0.1987500000000001,0.12386334419250489,2023-10-30
2013-10-21__2015-10-12,0.11599999999999988,0.12252365016937261,2015-10-12
2020-04-27__2022-04-18,0.3295000000000001,0.12217243862152105,2022-04-18
2019-04-29__2021-04-19,0.12050000000000016,0.12103990602493275,2021-04-19
2011-09-26__2013-09-16,0.16775000000000018,0.11861343860626228,2013-09-16
2004-09-06__2006-08-28,0.3909999999999999,0.11657819557189963,2006-08-28
2010-08-30__2012-08-20,0.10650000000000004,0.11654954862594602,2012-08-20
2010-06-07__2012-05-28,0.19625000000000015,0.11635854196548467,2012-05-28
2003-10-06__2005-09-26,0.16074999999999995,0.11586971855163575,2005-09-26
2013-08-26__2015-08-17,0.2955,0.11467068672180192,2015-08-17
2005-02-21__2007-02-12,0.26475000000000015,0.11346411275863655,2007-02-12
2005-10-31__2007-10-22,0.25524999999999975,0.11321747016906725,2007-10-22
2004-12-27__2006-12-18,0.06600000000000006,0.11240473222732539,2006-12-18
2015-08-24__2017-08-14,0.21725000000000005,0.11152270603179926,2017-08-14
2014-01-13__2016-01-04,0.1877499999999998,0.11089105272293098,2016-01-04
