window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,Seasonal Naive (lag_52),0.14375,0.14392272232000058,11.873471539810392,-0.14375
1995-01-09__1996-12-30,1995-01-09,1996-12-30,1997-01-06,1997-01-27,XGBoost,0.004721610069274851,0.006403469294125051,0.36882315439913965,-0.001908988952636692
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,Naive (lag_1),0.003500000000000003,0.004062019202318011,0.27408223319581776,0.003500000000000003
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,Seasonal Naive (lag_52),0.14075000000000004,0.14151766674164754,11.675000152631391,-0.14075000000000004
1995-02-06__1997-01-27,1995-02-06,1997-01-27,1997-02-03,1997-02-24,XGBoost,0.0027479279041290328,0.0031987106950063307,0.2154128306501719,0.0027479279041290328
1995-03-06__1997-02-24,1995-03-06,1997-02-24,1997-03-03,1997-03-24,Naive (lag_1),0.007000000000000006,0.007245688373094734,0.5570885550062268,0.0050000000000000044
1995-03-06__1997-02-24,1995-03-06,1997-02-24,1997-03-03,1997-03-24,Seasonal Naive (lag_52),0.06949999999999995,0.07216300991505269,5.715186797740835,-0.06949999999999995
1995-03-06__1997-02-24,1995-03-06,1997-02-24,1997-03-03,1997-03-24,XGBoost,0.009169576168060356,0.010222315905250443,0.7288888919785874,0.009169576168060356
1995-04-03__1997-03-24,1995-04-03,1997-03-24,1997-03-31,1997-04-21,Naive (lag_1),0.00275000000000003,0.0030413812651491215,0.2205696468235627,0.0012499999999999734
1995-04-03__1997-03-24,1995-04-03,1997-03-24,1997-03-31,1997-04-21,Seasonal Naive (lag_52),0.030499999999999916,0.037128156431473845,2.415006567859199,0.01899999999999996
1995-04-03__1997-03-24,1995-04-03,1997-03-24,1997-03-31,1997-04-21,XGBoost,0.0021818139553070326,0.002781920943367879,0.17504901291036273,0.00022921967506406293
1995-05-01__1997-04-21,1995-05-01,1997-04-21,1997-04-28,1997-05-19,Naive (lag_1),0.004000000000000059,0.0052440442408508365,0.32204526594596294,-0.0005000000000000004
1995-05-01__1997-04-21,1995-05-01,1997-04-21,1997-04-28,1997-05-19,Seasonal Naive (lag_52),0.08224999999999999,0.08229064345355429,6.416263547555539,0.08224999999999999
1995-05-01__1997-04-21,1995-05-01,1997-04-21,1997-04-28,1997-05-19,XGBoost,0.003447659492492705,0.0036826532924270593,0.27808891891806103,0.0002425460815429492
1995-05-29__1997-05-19,1995-05-29,1997-05-19,1997-05-26,1997-06-16,Naive (lag_1),0.006749999999999978,0.007123903424387451,0.5395649393793517,0.0012500000000000289
1995-05-29__1997-05-19,1995-05-29,1997-05-19,1997-05-26,1997-06-16,Seasonal Naive (lag_52),0.059750000000000025,0.05987695717051763,4.662562776101793,0.059750000000000025
1995-05-29__1997-05-19,1995-05-29,1997-05-19,1997-05-26,1997-06-16,XGBoost,0.01041549921035767,0.011158760000742615,0.8333707247029756,-0.00238793039321894
1995-06-26__1997-06-16,1995-06-26,1997-06-16,1997-06-23,1997-07-14,Naive (lag_1),0.005749999999999977,0.006344288770224753,0.4673018785781331,0.005749999999999977
1995-06-26__1997-06-16,1995-06-26,1997-06-16,1997-06-23,1997-07-14,Seasonal Naive (lag_52),0.05449999999999994,0.05452063829413586,4.352719786339268,0.05449999999999994
1995-06-26__1997-06-16,1995-06-26,1997-06-16,1997-06-23,1997-07-14,XGBoost,0.013747674465179438,0.014130853224501808,1.1169144575475562,0.013747674465179438
1995-07-24__1997-07-14,1995-07-24,1997-07-14,1997-07-21,1997-08-11,Naive (lag_1),0.016249999999999987,0.020682117879946428,1.3100382355155957,-0.013249999999999984
1995-07-24__1997-07-14,1995-07-24,1997-07-14,1997-07-21,1997-08-11,Seasonal Naive (lag_52),0.03424999999999995,0.03721894678789283,2.7478442788713737,0.022249999999999936
1995-07-24__1997-07-14,1995-07-24,1997-07-14,1997-07-21,1997-08-11,XGBoost,0.017691168785095246,0.024321525525260367,1.4259094035893602,-0.014110022068023698
1995-08-21__1997-08-11,1995-08-21,1997-08-11,1997-08-18,1997-09-08,Naive (lag_1),0.0045000000000000595,0.0071063352017759615,0.351336292894079,-0.0040000000000000036
1995-08-21__1997-08-11,1995-08-21,1997-08-11,1997-08-18,1997-09-08,Seasonal Naive (lag_52),0.03649999999999998,0.037269290307168426,2.8825053846537734,-0.03649999999999998
1995-08-21__1997-08-11,1995-08-21,1997-08-11,1997-08-18,1997-09-08,XGBoost,0.005603530883789065,0.006846380494600641,0.43657130624948326,-0.005603530883789065
1995-09-18__1997-09-08,1995-09-18,1997-09-08,1997-09-15,1997-10-06,Naive (lag_1),0.008500000000000008,0.009874208829065773,0.6687997173631123,0.008500000000000008
1995-09-18__1997-09-08,1995-09-18,1997-09-08,1997-09-15,1997-10-06,Seasonal Naive (lag_52),0.018499999999999905,0.020062402647738807,1.4703913793186518,-0.018499999999999905
1995-09-18__1997-09-08,1995-09-18,1997-09-08,1997-09-15,1997-10-06,XGBoost,0.009059850215911935,0.009649800826641436,0.7135623974948353,0.009059850215911935
1995-10-16__1997-10-06,1995-10-16,1997-10-06,1997-10-13,1997-11-03,Naive (lag_1),0.00824999999999998,0.00844097150806705,0.6667033617915491,0.00824999999999998
1995-10-16__1997-10-06,1995-10-16,1997-10-06,1997-10-13,1997-11-03,Seasonal Naive (lag_52),0.02250000000000002,0.028956864471140507,1.8083910754425534,0.02250000000000002
1995-10-16__1997-10-06,1995-10-16,1997-10-06,1997-10-13,1997-11-03,XGBoost,0.01837478637695311,0.019476618174240293,1.4806069355319627,0.01837478637695311
1995-11-13__1997-11-03,1995-11-13,1997-11-03,1997-11-10,1997-12-01,Naive (lag_1),0.00649999999999995,0.0073824115301166695,0.5372251985099007,0.006000000000000005
1995-11-13__1997-11-03,1995-11-13,1997-11-03,1997-11-10,1997-12-01,Seasonal Naive (lag_52),0.07274999999999993,0.07430511422506521,5.839393712946131,0.07274999999999993
1995-11-13__1997-11-03,1995-11-13,1997-11-03,1997-11-10,1997-12-01,XGBoost,0.017561342954635573,0.019775752441125144,1.4439852290153088,0.017561342954635573
1995-12-11__1997-12-01,1995-12-11,1997-12-01,1997-12-08,1997-12-29,Naive (lag_1),0.009750000000000036,0.009785192895390503,0.8280963628806259,0.009750000000000036
1995-12-11__1997-12-01,1995-12-11,1997-12-01,1997-12-08,1997-12-29,Seasonal Naive (lag_52),0.10849999999999999,0.10865771946806171,8.851506835938245,0.10849999999999999
1995-12-11__1997-12-01,1995-12-11,1997-12-01,1997-12-08,1997-12-29,XGBoost,0.026242276906967177,0.028806535712316495,2.218401827089864,0.026242276906967177
1996-01-08__1997-12-29,1996-01-08,1997-12-29,1998-01-05,1998-01-26,Naive (lag_1),0.011499999999999955,0.011979148550710885,1.013343336545367,0.011499999999999955
1996-01-08__1997-12-29,1996-01-08,1997-12-29,1998-01-05,1998-01-26,Seasonal Naive (lag_52),0.15025,0.1512721058225871,12.449596707311928,0.15025
1996-01-08__1997-12-29,1996-01-08,1997-12-29,1998-01-05,1998-01-26,XGBoost,0.01863641643524172,0.022303843792609846,1.6395420701706607,0.01863641643524172
1996-02-05__1998-01-26,1996-02-05,1998-01-26,1998-02-02,1998-02-23,Naive (lag_1),0.008000000000000063,0.009300537618869181,0.7294405863974642,0.005500000000000005
1996-02-05__1998-01-26,1996-02-05,1998-01-26,1998-02-02,1998-02-23,Seasonal Naive (lag_52),0.18024999999999997,0.1803198547026921,15.199080684823073,0.18024999999999997
1996-02-05__1998-01-26,1996-02-05,1998-01-26,1998-02-02,1998-02-23,XGBoost,0.02053423309326169,0.02301810973733112,1.8593704040352594,0.02053423309326169
1996-03-04__1998-02-23,1996-03-04,1998-02-23,1998-03-02,1998-03-23,Naive (lag_1),0.010750000000000037,0.011056672193748038,1.006209196926131,0.010750000000000037
1996-03-04__1998-02-23,1996-03-04,1998-02-23,1998-03-02,1998-03-23,Seasonal Naive (lag_52),0.192,0.19211324785136502,16.60556094517209,0.192
1996-03-04__1998-02-23,1996-03-04,1998-02-23,1998-03-02,1998-03-23,XGBoost,0.03356816959381109,0.036059764177836406,3.1204619888671576,0.03356816959381109
1996-04-01__1998-03-23,1996-04-01,1998-03-23,1998-03-30,1998-04-20,Naive (lag_1),0.009499999999999953,0.01518222645068898,0.8924129465056659,-0.007000000000000006
1996-04-01__1998-03-23,1996-04-01,1998-03-23,1998-03-30,1998-04-20,Seasonal Naive (lag_52),0.17125,0.17126076608493845,14.761399587117227,0.17125
1996-04-01__1998-03-23,1996-04-01,1998-03-23,1998-03-30,1998-04-20,XGBoost,0.02182367992401124,0.0221891437117979,2.052100137323989,-0.02182367992401124
1996-04-29__1998-04-20,1996-04-29,1998-04-20,1998-04-27,1998-05-18,Naive (lag_1),0.008500000000000008,0.009974968671630016,0.7784435285742156,-0.008500000000000008
1996-04-29__1998-04-20,1996-04-29,1998-04-20,1998-04-27,1998-05-18,Seasonal Naive (lag_52),0.14100000000000001,0.14128871150944794,12.052009536354516,0.14100000000000001
1996-04-29__1998-04-20,1996-04-29,1998-04-20,1998-04-27,1998-05-18,XGBoost,0.024734663724899297,0.026738557210564978,2.2708703544546385,-0.024734663724899297
1996-05-27__1998-05-18,1996-05-27,1998-05-18,1998-05-25,1998-06-15,Naive (lag_1),0.005749999999999922,0.006689544080129753,0.5189229046305764,0.0012499999999999734
1996-05-27__1998-05-18,1996-05-27,1998-05-18,1998-05-25,1998-06-15,Seasonal Naive (lag_52),0.14424999999999988,0.14440654417303936,12.230360206292715,0.14424999999999988
1996-05-27__1998-05-18,1996-05-27,1998-05-18,1998-05-25,1998-06-15,XGBoost,0.011869693756103583,0.012676663204389212,1.077351239615268,-0.011869693756103583
1996-06-24__1998-06-15,1996-06-24,1998-06-15,1998-06-22,1998-07-13,Naive (lag_1),0.0034999999999999476,0.004743416490252538,0.3188254000591977,0.0030000000000000027
1996-06-24__1998-06-15,1996-06-24,1998-06-15,1998-06-22,1998-07-13,Seasonal Naive (lag_52),0.12949999999999995,0.12956658519849934,11.163128604329007,0.12949999999999995
1996-06-24__1998-06-15,1996-06-24,1998-06-15,1998-06-22,1998-07-13,XGBoost,0.003224017858505235,0.004074988932218489,0.29370044934475653,0.0028670237064361004
1996-07-22__1998-07-13,1996-07-22,1998-07-13,1998-07-20,1998-08-10,Naive (lag_1),0.007499999999999951,0.00793725393319375,0.6905318060513571,0.0050000000000000044
1996-07-22__1998-07-13,1996-07-22,1998-07-13,1998-07-20,1998-08-10,Seasonal Naive (lag_52),0.15325,0.15621219542660553,13.196333532240661,0.15325
1996-07-22__1998-07-13,1996-07-22,1998-07-13,1998-07-20,1998-08-10,XGBoost,0.011174913644790618,0.014527019441929594,1.0297513081795846,0.01024639391899107
1996-08-19__1998-08-10,1996-08-19,1998-08-10,1998-08-17,1998-09-07,Naive (lag_1),0.006500000000000006,0.006557438524301998,0.6138154022974438,0.006500000000000006
1996-08-19__1998-08-10,1996-08-19,1998-08-10,1998-08-17,1998-09-07,Seasonal Naive (lag_52),0.22875,0.22907476945311983,19.553915108974405,0.22875
1996-08-19__1998-08-10,1996-08-19,1998-08-10,1998-08-17,1998-09-07,XGBoost,0.01640623879432679,0.018356472817080628,1.5443264403143877,0.01640623879432679
1996-09-16__1998-09-07,1996-09-16,1998-09-07,1998-09-14,1998-10-05,Naive (lag_1),0.005249999999999977,0.006576473218982912,0.5003607280940401,-0.003249999999999975
1996-09-16__1998-09-07,1996-09-16,1998-09-07,1998-09-14,1998-10-05,Seasonal Naive (lag_52),0.21299999999999997,0.21366211643620867,18.386760851749433,0.21299999999999997
1996-09-16__1998-09-07,1996-09-16,1998-09-07,1998-09-14,1998-10-05,XGBoost,0.015391681909561195,0.015805646487958642,1.4539643755188656,0.015391681909561195
1996-10-14__1998-10-05,1996-10-14,1998-10-05,1998-10-12,1998-11-02,Naive (lag_1),0.004249999999999976,0.004330127018922152,0.40187359723848426,0.0022499999999999742
1996-10-14__1998-10-05,1996-10-14,1998-10-05,1998-10-12,1998-11-02,Seasonal Naive (lag_52),0.17725000000000002,0.17733795420044746,15.476192488646086,0.17725000000000002
1996-10-14__1998-10-05,1996-10-14,1998-10-05,1998-10-12,1998-11-02,XGBoost,0.015270966053009039,0.017499104265439692,1.435142501427831,0.015270966053009039
